test_id,category,date_input,input_format,output_format,expected_output,description
BASE_001,valid,2024-01-15,D_YYYYMMDD,S_DDMMYYYY,15/01/2024,Typical date
BASE_002,valid,15/01/2024,S_DDMMYYYY,D_YYYYMMDD,2024-01-15,Reverse typical
BASE_003,valid,2024-12-31,D_YYYYMMDD,S_YYYYMMDD,2024/12/31,Year end
BASE_004,valid,01/01/2024,S_DDMMYYYY,D_DDMMYYYY,01-01-2024,Year start
BASE_005,valid,2024-06-15,D_YYYYMMDD,S_DDMMYYYY,15/06/2024,Mid year
BASE_006,valid,2024-Dec-07,D_YYYYMMDD_N,D_YYYYMMDD,2024-12-07,Text to numeric month
BASE_007,valid,07-Jan-2024,D_DDMMYYYY_N,S_DDMMYYYY,07/01/2024,Text month conversion
BASE_008,valid,2024-Mar-31,D_YYYYMMDD_N,D_DDMMYYYY,31-03-2024,Text month end
BASE_009,valid,24-12-07,D_YYMMDD,D_YYYYMMDD,2024-12-07,2-digit to 4-digit year
BASE_010,valid,07/12/24,S_DDMMyy,S_DDMMYYYY,07/12/2024,2-digit year slash format
BASE_011,valid,00-01-01,D_YYMMDD,D_YYYYMMDD,2000-01-01,Y2K year
BASE_012,valid,"2024-12-07, 03:30pm",D_YYYYMMDDHHMMA,D_DDMMYYYYHHMMA,"07-12-2024, 03:30pm",DateTime with AM/PM
BASE_013,valid,"2024/12/07, 11:45am",S_YYYYMMDDHHMMA,S_DDMMYYYYHHMMA,"07/12/2024, 11:45am",DateTime slash format
BASE_014,valid,"2024-12-07, 03:30:45pm",D_YYYYMMDDHHMMSSA,D_DDMMYYYYHHMMSSA,"07-12-2024, 03:30:45pm",DateTime with seconds
BASE_015,leap_year,2020-02-29,D_YYYYMMDD,S_DDMMYYYY,29/02/2020,Leap year Feb 29 - 2020
BASE_016,leap_year,29/02/2024,S_DDMMYYYY,D_YYYYMMDD,2024-02-29,Leap year Feb 29 - 2024
BASE_017,leap_year,2000-02-29,D_YYYYMMDD,D_DDMMYYYY,29-02-2000,Leap year - century divisible by 400
BASE_018,leap_year,20-02-29,D_YYMMDD,D_YYYYMMDD,2020-02-29,Leap year 2-digit format
BASE_019,month_boundary,2024-01-31,D_YYYYMMDD,S_DDMMYYYY,31/01/2024,January - 31 days
BASE_020,month_boundary,2024-02-28,D_YYYYMMDD,S_DDMMYYYY,28/02/2024,February - 28 days (non-leap)
BASE_021,month_boundary,2024-03-31,D_YYYYMMDD,S_DDMMYYYY,31/03/2024,March - 31 days
BASE_022,month_boundary,2024-04-30,D_YYYYMMDD,S_DDMMYYYY,30/04/2024,April - 30 days
BASE_023,month_boundary,2024-05-31,D_YYYYMMDD,S_DDMMYYYY,31/05/2024,May - 31 days
BASE_024,month_boundary,2024-06-30,D_YYYYMMDD,S_DDMMYYYY,30/06/2024,June - 30 days
BASE_025,month_boundary,2024-07-31,D_YYYYMMDD,S_DDMMYYYY,31/07/2024,July - 31 days
BASE_026,month_boundary,2024-08-31,D_YYYYMMDD,S_DDMMYYYY,31/08/2024,August - 31 days
BASE_027,month_boundary,2024-09-30,D_YYYYMMDD,S_DDMMYYYY,30/09/2024,September - 30 days
BASE_028,month_boundary,2024-10-31,D_YYYYMMDD,S_DDMMYYYY,31/10/2024,October - 31 days
BASE_029,month_boundary,2024-11-30,D_YYYYMMDD,S_DDMMYYYY,30/11/2024,November - 30 days
BASE_030,month_boundary,2024-12-31,D_YYYYMMDD,S_DDMMYYYY,31/12/2024,December - 31 days
BASE_031,invalid,2024-02-30,D_YYYYMMDD,S_DDMMYYYY,,Invalid - Feb 30
BASE_032,invalid,2024-13-01,D_YYYYMMDD,S_DDMMYYYY,,Invalid - Month 13
BASE_033,invalid,2024-00-15,D_YYYYMMDD,S_DDMMYYYY,,Invalid - Month 0
BASE_034,invalid,2024-06-31,D_YYYYMMDD,S_DDMMYYYY,,Invalid - June 31
BASE_035,invalid,32/01/2024,S_DDMMYYYY,D_YYYYMMDD,,Invalid - Day 32
BASE_036,invalid,00/01/2024,S_DDMMYYYY,D_YYYYMMDD,,Invalid - Day 0
BASE_037,invalid,15/13/2024,S_DDMMYYYY,D_YYYYMMDD,,Invalid - Month 13
BASE_038,invalid,2019-02-29,D_YYYYMMDD,S_DDMMYYYY,,Invalid - Non-leap year Feb 29
BASE_039,invalid,1900-02-29,D_YYYYMMDD,S_DDMMYYYY,,Invalid - 1900 not leap year
BASE_040,invalid,,D_YYYYMMDD,S_DDMMYYYY,,Invalid - Empty string
BASE_041,invalid,invalid,D_YYYYMMDD,S_DDMMYYYY,,Invalid - Malformed date
BASE_042,year_boundary,0001-01-01,D_YYYYMMDD,S_DDMMYYYY,01/01/0001,Year boundary - Year 1
BASE_043,year_boundary,9999-12-31,D_YYYYMMDD,S_DDMMYYYY,31/12/9999,Year boundary - Year 9999
BASE_044,year_boundary,0000-01-01,D_YYYYMMDD,S_DDMMYYYY,,Invalid - Year 0
BASE_045,year_boundary,2000-01-01,D_YYYYMMDD,S_DDMMYYYY,01/01/2000,Year 2000
BASE_046,year_boundary,1999-12-31,D_YYYYMMDD,S_DDMMYYYY,31/12/1999,Pre-Y2K
